Stock,StartDate,EndDate,RSI,CV
NAM-INDIA.NS,07-03-19,14-02-20,59,0.23
BAJFINANCE.NS,01-01-14,12-02-20,58,0.8
BAJAJFINSV.NS,01-01-14,12-02-20,56,0.65
DMART.NS,21-03-17,12-02-20,56,0.25
HDFCBANK.NS,01-01-14,12-02-20,56,0.37
SRF.NS,01-01-14,14-02-20,56,0.48
BERGEPAINT.NS,01-01-14,14-02-20,55,0.44
BRITANNIA.NS,01-01-14,12-02-20,55,0.47
HDFCAMC.NS,07-08-18,14-02-20,55,0.35
IGL.NS,01-01-14,14-02-20,55,0.56
KOTAKBANK.NS,01-01-14,12-02-20,55,0.39
MARUTI.NS,01-01-14,12-02-20,55,0.39
PIDILITIND.NS,01-01-14,14-02-20,55,0.41
SHREECEM.NS,01-01-14,14-02-20,55,0.32
WHIRLPOOL.NS,01-01-14,14-02-20,55,0.49
^NSEBANK,02-01-14,12-02-20,55,0.25
^NSEI,02-01-14,12-02-20,55,0.17
ASIANPAINT.NS,01-01-14,12-02-20,54,0.31
BAJAJHLDNG.NS,01-01-14,14-02-20,54,0.38
BALKRISIND.NS,01-01-14,13-02-20,54,0.51
CHOLAFIN.NS,01-01-14,13-02-20,54,0.42
CUB.NS,01-01-14,13-02-20,54,0.44
HDFC.NS,01-01-14,14-02-20,54,0.28
HINDUNILVR.NS,01-01-14,13-02-20,54,0.39
ICICIGI.NS,27-09-17,12-02-20,54,0.23
INDUSINDBK.NS,01-01-14,12-02-20,54,0.35
LTI.NS,21-07-16,14-02-20,54,0.37
MANAPPURAM.NS,01-01-14,14-02-20,54,0.57
PETRONET.NS,01-01-14,12-02-20,54,0.4
PGHH.NS,01-01-14,14-02-20,54,0.3
RAJESHEXPO.NS,01-01-14,12-02-20,54,0.44
TITAN.NS,01-01-14,12-02-20,54,0.52
TORNTPHARM.NS,01-01-14,14-02-20,54,0.26
TVSMOTOR.NS,01-01-14,12-02-20,54,0.44
VOLTAS.NS,01-01-14,14-02-20,54,0.4
